k,f,Real(g),Imag(g),Abs(g),Real(IFFT(g)),Imag(IFFT(g))
0,0.00000000000000000000000,-0.00000000000000015285760,0.00000000000000000000000,0.00000000000000015285760,0.00000000000000000000000,0.00000000000000000000000
1,1.41885427934186990000000,0.00000000000000004492427,0.00000000000000001060736,0.00000000000000004615957,1.41885427934187010000000,-0.00000000000000036082248
2,-0.00710678118654750610000,0.00000000000000009378010,-0.35000000000000009000000,0.35000000000000009000000,-0.00710678118654739510000,-0.00000000000000011102230
3,0.11229131446549290000000,0.00000000000000000642593,0.00000000000000013877788,0.00000000000000013892657,0.11229131446549306000000,-0.00000000000000002775558
4,1.00000000000000000000000,-0.00000000000000000020193,0.00000000000000011102230,0.00000000000000011102249,1.00000000000000000000000,0.00000000000000022204460
5,-0.87765817919567302000000,-0.00000000000000029745561,-0.50000000000000000000000,0.50000000000000000000000,-0.87765817919567324000000,0.00000000000000002775558
6,-1.40710678118654850000000,-0.00000000000000013581733,-0.00000000000000008326673,0.00000000000000015931006,-1.40710678118654850000000,-0.00000000000000033306691
7,0.42890478568070306000000,0.00000000000000012315647,-0.00000000000000020292842,0.00000000000000023737620,0.42890478568070312000000,0.00000000000000047184479
8,0.00000000000000044085829,0.00000000000000031898719,0.00000000000000000000000,0.00000000000000031898719,0.00000000000000044085829,0.00000000000000000000000
9,-0.42890478568070373000000,0.00000000000000010956505,0.00000000000000023919282,0.00000000000000026309258,-0.42890478568070367000000,0.00000000000000008326673
10,1.40710678118654760000000,-0.00000000000000004499778,0.00000000000000011102230,0.00000000000000011979462,1.40710678118654760000000,0.00000000000000011102230
11,0.87765817919567313000000,-0.00000000000000029888540,0.50000000000000011000000,0.50000000000000011000000,0.87765817919567302000000,-0.00000000000000024980018
12,-0.99999999999999978000000,-0.00000000000000000020193,-0.00000000000000011102230,0.00000000000000011102249,-0.99999999999999989000000,-0.00000000000000022204460
13,-0.11229131446549590000000,0.00000000000000006336687,-0.00000000000000016653345,0.00000000000000017818179,-0.11229131446549584000000,0.00000000000000024980018
14,0.00710678118654894940000,0.00000000000000014173843,0.35000000000000009000000,0.35000000000000009000000,0.00710678118654894940000,0.00000000000000033306691
15,-1.41885427934187010000000,0.00000000000000002847327,-0.00000000000000004687176,0.00000000000000005484240,-1.41885427934187010000000,-0.00000000000000019428903
