k,f,Real(g),Imag(g),Abs(g),Real(IFFT(g)),Imag(IFFT(g)),Real(IFFT(g')),Imag(IFFT(g'))
0,0.05957518234809411300000,0.05957518234809412000000,0.00000000000000000000000,0.05957518234809412000000,0.05957518234809410600000,0.00000000000000016653345,0.05957518234809389100000,-0.85000000000000031000000
1,0.37116736048205040000000,0.00000000000000000591778,0.00000000000000002231821,0.00000000000000002308945,0.37116736048205035000000,-0.00000000000000014137996,0.21537127141507226000000,-0.83333028093254125000000
2,0.66753514458538155000000,-0.00000000000000004202867,-0.34999999999999998000000,0.34999999999999998000000,0.66753514458538121000000,0.00000000000000023939184,0.36355516346673789000000,-0.78423548031530821000000
3,0.93433341127323610000000,0.00000000000000000471480,0.00000000000000006660104,0.00000000000000006676772,0.93433341127323566000000,0.00000000000000023592239,0.49695429681066505000000,-0.70540468018375269000000
4,1.15892319730620220000000,0.00000000000000001121433,0.00000000000000004565826,0.00000000000000004701530,1.15892319730620200000000,0.00000000000000033306691,0.60924918982714815000000,-0.60114295288875153000000
5,1.33109696330931330000000,-0.00000000000000031823240,-0.50000000000000000000000,0.50000000000000000000000,1.33109696330931330000000,0.00000000000000030531133,0.69533607282870369000000,-0.47711736921803433000000
6,1.44365907213401230000000,0.00000000000000000008344,-0.00000000000000005571666,0.00000000000000005571672,1.44365907213401190000000,0.00000000000000052735594,0.75161712724105323000000,-0.34002293447067106000000
7,1.49282699122742700000000,0.00000000000000003153231,-0.00000000000000005305414,0.00000000000000006171732,1.49282699122742720000000,0.00000000000000052735594,0.77620108678776034000000,-0.19718842144927706000000
8,1.47842946168996400000000,0.00000000000000001939698,-0.00000000000000007155671,0.00000000000000007413909,1.47842946168996400000000,-0.00000000000000049960036,0.76900232201902874000000,-0.05614565723274692100000
9,1.40389003118265480000000,0.00000000000000001172241,-0.00000000000000002044386,0.00000000000000002356621,1.40389003118265500000000,-0.00000000000000016653345,0.73173260676537444000000,0.07581200278894054100000
10,1.27599719512352120000000,0.00000000000000002394442,-0.00000000000000006729538,0.00000000000000007142831,1.27599719512352120000000,-0.00000000000000005551115,0.66778618873580764000000,0.19205564512450737000000
