x(t),y(t)
0.0001372,0.0001550
0.0010222,0.0011588
0.0032736,0.0036692
0.0074294,0.0081884
0.0139661,0.0151038
0.0233072,0.0247169
0.0358262,0.0372634
0.0518488,0.0529278
0.0716543,0.0718552
0.0954757,0.0941587
0.1235007,0.1199262
0.1558719,0.1492253
0.1926874,0.1821073
0.2340016,0.2186096
0.2798260,0.2587591
0.3301308,0.3025730
0.3848456,0.3500615
0.4438617,0.4012282
0.5070338,0.4560718
0.5741819,0.5145866
0.6450940,0.5767631
0.7195283,0.6425891
0.7972165,0.7120498
0.8778662,0.7851283
0.9611641,0.8618060
1.0467794,0.9420629
1.1343670,1.0258779
1.2235710,1.1132289
1.3140276,1.2040929
1.4053694,1.2984467
1.4972279,1.3962661
1.5892376,1.4975269
1.6810386,1.6022046
1.7722807,1.7102745
1.8626254,1.8217115
1.9517497,1.9364910
2.0393484,2.0545880
2.1251367,2.1759777
2.2088524,2.3006354
2.2902585,2.4285364
2.3691442,2.5596563
2.4453272,2.6939708
2.5186545,2.8314559
2.5890037,2.9720875
2.6562835,3.1158421
2.7204341,3.2626963
2.7814276,3.4126269
2.8392672,3.5656110
2.8939874,3.7216259
2.9456529,3.8806492
2.9943574,4.0426587
3.0402228,4.2076328
3.0833970,4.3755496
3.1240527,4.5463880
3.1623851,4.7201269
3.1986100,4.8967455
3.2329609,5.0762233
3.2656873,5.2585401
3.2970514,5.4436759
3.3273257,5.6316110
3.3567904,5.8223261
3.3857302,6.0158018
3.4144319,6.2120194
3.4431811,6.4109601
3.4722600,6.6126055
3.5019441,6.8169375
3.5325002,7.0239381
3.5641833,7.2335897
3.5972346,7.4458748
3.6318793,7.6607762
3.6683244,7.8782769
3.7067569,8.0983601
3.7473423,8.3210094
3.7902229,8.5462085
3.8355171,8.7739411
3.8833181,9.0041915
3.9336934,9.2369440
3.9866841,9.4721831
4.0423053,9.7098935
4.1005458,9.9500601
4.1613684,10.1926681
4.2247107,10.4377028
4.2904859,10.6851497
4.3585838,10.9349945
4.4288723,11.1872230
4.5011984,11.4418214
4.5753906,11.6987757
4.6512600,11.9580724
4.7286030,12.2196982
4.8072029,12.4836396
4.8868324,12.7498836
4.9672558,13.0184173
5.0482315,13.2892279
5.1295144,13.5623027
5.2108583,13.8376292
5.2920185,14.1151951
5.3727537,14.3949883
5.4528291,14.6769967
5.5320181,14.9612083
5.6101047,15.2476115
