vx(t),vy(t)
0.0039942,0.0045420
0.0147277,0.0166206
0.0311938,0.0344175
0.0527146,0.0566068
0.0787266,0.0822010
0.1087180,0.1104517
0.1422039,0.1407832
0.1787135,0.1727466
0.2177838,0.2059882
0.2589573,0.2402265
0.3017808,0.2752355
0.3458067,0.3108325
0.3905936,0.3468688
0.4357087,0.3832228
0.4807298,0.4197944
0.5252473,0.4565011
0.5688672,0.4932745
0.6112130,0.5300581
0.6519285,0.5668045
0.6906800,0.6034745
0.7271584,0.6400354
0.7610813,0.6764599
0.7921949,0.7127254
0.8202753,0.7488132
0.8451303,0.7847075
0.8666002,0.8203958
0.8845587,0.8558674
0.8989135,0.8911139
0.9096066,0.9261286
0.9166141,0.9609060
0.9199461,0.9954421
0.9196463,1.0297338
0.9157904,1.0637789
0.9084858,1.0975760
0.8978697,1.1311244
0.8841076,1.1644239
0.8673913,1.1974749
0.8479371,1.2302779
0.8259830,1.2628343
0.8017870,1.2951452
0.7756235,1.3272124
0.7477814,1.3590376
0.7185610,1.3906230
0.6882709,1.4219707
0.6572252,1.4530830
0.6257407,1.4839624
0.5941334,1.5146113
0.5627164,1.5450322
0.5317960,1.5752279
0.5016700,1.6052010
0.4726241,1.6349541
0.4449299,1.6644901
0.4188424,1.6938115
0.3945977,1.7229211
0.3724112,1.7518217
0.3524755,1.7805159
0.3349593,1.8090065
0.3200054,1.8372962
0.3077304,1.8653875
0.2982234,1.8932832
0.2915454,1.9209858
0.2877295,1.9484979
0.2867803,1.9758222
0.2886748,2.0029611
0.2933623,2.0299171
0.3007654,2.0566927
0.3107814,2.0832902
0.3232828,2.1097122
0.3381196,2.1359608
0.3551201,2.1620386
0.3740937,2.1879476
0.3948322,2.2136903
0.4171123,2.2392687
0.4406977,2.2646851
0.4653419,2.2899416
0.4907903,2.3150403
0.5167829,2.3399833
0.5430569,2.3647725
0.5693489,2.3894101
0.5953983,2.4138979
0.6209490,2.4382379
0.6457520,2.4624320
0.6695681,2.4864821
0.6921699,2.5103900
0.7133439,2.5341574
0.7328925,2.5577862
0.7506359,2.5812780
0.7664134,2.6046347
0.7800852,2.6278578
0.7915334,2.6509490
0.8006628,2.6739100
0.8074018,2.6967424
0.8117033,2.7194476
0.8135441,2.7420272
0.8129259,2.7644828
0.8098742,2.7868158
0.8044385,2.8090277
0.7966915,2.8311199
0.7867280,2.8530938
0.7746640,2.8749509
